filename,entropy,size_kb,extension,label
doc1.docx,3.9,15.2,docx,benign
text.txt,4.2,3.1,txt,benign
invoice.pdf,5.0,12.7,pdf,benign
worm1.exe,7.9,44.2,exe,ransomware
crypto1.exe,8.2,38.5,exe,ransomware
data.jpg,2.1,22.3,jpg,benign
virus.exe,7.8,50.1,exe,ransomware
ransom.docx,7.1,28.4,docx,ransomware
normal.txt,3.8,5.5,txt,benign
hidden.exe,8.0,42.2,exe,ransomware
presentation.pdf,4.9,18.3,pdf,benign
macro.docx,7.0,26.7,docx,ransomware
payload.exe,8.4,45.0,exe,ransomware
finance.txt,3.7,6.1,txt,benign
encrypted1.exe,7.6,47.8,exe,ransomware
archive.zip,6.5,55.2,exe,ransomware
sample.jpg,2.2,20.5,jpg,benign
project.docx,4.1,19.4,docx,benign
report.pdf,5.2,11.8,pdf,benign
backdoor.exe,8.5,52.3,exe,ransomware
report.txt,4.0,3.8,txt,benign
log1.txt,4.4,4.0,txt,benign
doc2.docx,3.5,12.1,docx,benign
keylogger.exe,8.1,39.5,exe,ransomware
