filename,entropy,size_kb,extension,label
doc1.docx,3.9,15.2,docx,benign
text.txt,4.2,3.1,txt,benign
invoice.pdf,5.0,12.7,pdf,benign
worm1.exe,7.9,44.2,exe,ransomware
crypto1.exe,8.2,38.5,exe,ransomware
data.jpg,2.1,22.3,jpg,benign
virus.exe,7.8,50.1,exe,ransomware
ransom.docx,7.1,28.4,docx,ransomware
normal.txt,3.8,5.5,txt,benign
hidden.exe,8.0,42.2,exe,ransomware
file_0.docx,7.9,61.2,docx,ransomware
file_1.exe,7.4,77.4,exe,ransomware
file_2.exe,4.3,13.7,exe,benign
file_3.docx,3.9,16.1,docx,benign
file_4.docx,3.7,30.1,docx,benign
file_5.pdf,2.2,43.8,pdf,benign
file_6.pdf,4.8,14.9,pdf,benign
file_7.pdf,2.1,42.4,pdf,benign
file_8.png,2.5,48.8,png,benign
file_9.exe,3.1,13.7,exe,benign
file_10.jpg,7.2,27.4,jpg,ransomware
file_11.jpg,8.2,56.0,jpg,ransomware
file_12.png,7.5,69.1,png,ransomware
file_13.jpg,2.5,7.9,jpg,benign
file_14.pdf,5.5,16.4,pdf,benign
file_15.jpg,5.4,48.9,jpg,benign
file_16.jpg,4.5,46.0,jpg,benign
file_17.pdf,7.7,62.1,pdf,ransomware
file_18.jpg,4.4,47.4,jpg,benign
file_19.png,5.0,23.6,png,benign
file_20.pdf,4.6,5.5,pdf,benign
file_21.docx,4.4,12.5,docx,benign
file_22.txt,8.2,49.4,txt,ransomware
file_23.png,2.8,47.8,png,benign
file_24.png,8.2,34.4,png,ransomware
file_25.jpg,7.9,71.4,jpg,ransomware
file_26.txt,4.7,45.9,txt,benign
file_27.pdf,2.6,49.1,pdf,benign
file_28.pdf,6.8,38.5,pdf,ransomware
file_29.png,8.4,25.0,png,ransomware
file_30.png,3.2,19.0,png,benign
file_31.pdf,6.9,62.2,pdf,ransomware
file_32.pdf,4.6,48.2,pdf,benign
file_33.pdf,4.9,45.8,pdf,benign
file_34.txt,3.9,43.3,txt,benign
file_35.exe,6.8,58.9,exe,ransomware
file_36.jpg,7.1,52.0,jpg,ransomware
file_37.docx,8.1,44.3,docx,ransomware
file_38.txt,2.4,21.8,txt,benign
file_39.jpg,7.8,35.0,jpg,ransomware
file_40.jpg,8.1,49.6,jpg,ransomware
file_41.txt,7.4,39.6,txt,ransomware
file_42.exe,6.9,57.7,exe,ransomware
file_43.docx,3.2,27.7,docx,benign
file_44.jpg,2.5,26.8,jpg,benign
file_45.jpg,5.3,28.0,jpg,benign
file_46.png,2.4,33.5,png,benign
file_47.jpg,8.3,57.3,jpg,ransomware
file_48.jpg,4.3,9.6,jpg,benign
file_49.png,4.8,15.4,png,benign
file_50.pdf,8.3,49.7,pdf,ransomware
file_51.exe,5.1,34.5,exe,benign
file_52.pdf,6.9,79.8,pdf,ransomware
file_53.exe,7.2,44.6,exe,ransomware
file_54.docx,2.4,30.3,docx,benign
file_55.exe,3.3,37.8,exe,benign
file_56.docx,7.3,51.7,docx,ransomware
file_57.pdf,5.0,31.9,pdf,benign
file_58.docx,7.0,37.3,docx,ransomware
file_59.png,5.2,46.3,png,benign
file_60.jpg,7.4,21.5,jpg,ransomware
file_61.pdf,7.8,47.4,pdf,ransomware
file_62.docx,4.9,31.8,docx,benign
file_63.png,3.1,24.5,png,benign
file_64.jpg,7.3,77.9,jpg,ransomware
file_65.png,7.7,72.9,png,ransomware
file_66.exe,4.4,37.5,exe,benign
file_67.docx,5.4,23.5,docx,benign
file_68.png,2.1,40.5,png,benign
file_69.jpg,7.2,24.1,jpg,ransomware
file_70.txt,2.3,21.7,txt,benign
file_71.png,5.1,22.5,png,benign
file_72.exe,7.6,37.1,exe,ransomware
file_73.exe,7.0,20.7,exe,ransomware
file_74.txt,3.3,29.5,txt,benign
file_75.txt,8.2,64.7,txt,ransomware
file_76.txt,7.3,39.9,txt,ransomware
file_77.pdf,2.9,14.2,pdf,benign
file_78.txt,7.6,51.4,txt,ransomware
file_79.txt,3.8,49.9,txt,benign
file_80.jpg,2.8,18.5,jpg,benign
file_81.pdf,3.0,16.6,pdf,benign
file_82.png,8.5,29.9,png,ransomware
file_83.exe,8.3,79.7,exe,ransomware
file_84.docx,4.8,33.3,docx,benign
file_85.docx,4.5,6.9,docx,benign
file_86.jpg,2.4,19.3,jpg,benign
file_87.pdf,4.5,22.8,pdf,benign
file_88.docx,2.3,32.2,docx,benign
file_89.png,3.5,38.1,png,benign
