filename,entropy,size_kb,extension,label
ransom_0.docx,7.7,32.58,docx,ransomware
image_1.jpg,1.93,19.97,jpg,benign
text_2.txt,4.09,5.47,txt,benign
doc_3.docx,3.5,25.07,docx,benign
doc_4.docx,3.62,25.59,docx,benign
image_5.jpg,2.19,21.46,jpg,benign
doc_6.docx,3.42,25.8,docx,benign
crypto_7.exe,8.26,38.66,exe,ransomware
virus_8.exe,7.75,54.6,exe,ransomware
hidden_9.exe,8.51,43.03,exe,ransomware
normal_10.txt,3.74,5.29,txt,benign
hidden_11.exe,7.91,39.96,exe,ransomware
text_12.txt,3.92,2.23,txt,benign
image_13.jpg,1.65,22.67,jpg,benign
image_14.jpg,2.41,21.62,jpg,benign
image_15.jpg,2.3,20.83,jpg,benign
hidden_16.exe,8.12,42.33,exe,ransomware
image_17.jpg,2.45,21.2,jpg,benign
image_18.jpg,1.95,20.86,jpg,benign
text_19.txt,3.73,3.32,txt,benign
crypto_20.exe,8.45,38.34,exe,ransomware
normal_21.txt,3.06,6.3,txt,benign
normal_22.txt,4.27,4.59,txt,benign
hidden_23.exe,8.48,41.68,exe,ransomware
text_24.txt,3.94,2.48,txt,benign
crypto_25.exe,7.86,35.16,exe,ransomware
text_26.txt,4.23,5.97,txt,benign
image_27.jpg,1.99,19.69,jpg,benign
invoice_28.pdf,5.16,15.08,pdf,benign
doc_29.docx,3.71,25.0,docx,benign
doc_30.docx,3.2,23.62,docx,benign
image_31.jpg,2.35,24.67,jpg,benign
text_32.txt,4.09,6.32,txt,benign
image_33.jpg,1.53,22.35,jpg,benign
virus_34.exe,7.94,52.15,exe,ransomware
ransom_35.docx,7.23,27.83,docx,ransomware
image_36.jpg,2.16,20.35,jpg,benign
hidden_37.exe,8.47,42.22,exe,ransomware
ransom_38.docx,7.35,28.8,docx,ransomware
worm_39.exe,8.73,42.21,exe,ransomware
ransom_40.docx,7.35,33.48,docx,ransomware
crypto_41.exe,8.89,39.21,exe,ransomware
text_42.txt,3.98,1.39,txt,benign
virus_43.exe,7.74,51.25,exe,ransomware
ransom_44.docx,7.37,29.94,docx,ransomware
crypto_45.exe,8.37,34.92,exe,ransomware
invoice_46.pdf,4.7,9.29,pdf,benign
image_47.jpg,1.18,19.07,jpg,benign
normal_48.txt,3.48,4.89,txt,benign
virus_49.exe,8.6,51.03,exe,ransomware
hidden_50.exe,8.12,41.93,exe,ransomware
virus_51.exe,8.1,51.66,exe,ransomware
normal_52.txt,3.63,1.72,txt,benign
normal_53.txt,3.35,4.54,txt,benign
normal_54.txt,3.98,6.82,txt,benign
doc_55.docx,3.35,26.26,docx,benign
normal_56.txt,3.69,4.1,txt,benign
ransom_57.docx,7.61,30.62,docx,ransomware
invoice_58.pdf,4.9,11.83,pdf,benign
normal_59.txt,3.97,3.43,txt,benign
crypto_60.exe,7.96,35.85,exe,ransomware
text_61.txt,4.29,0.41,txt,benign
ransom_62.docx,7.46,25.77,docx,ransomware
worm_63.exe,7.59,38.32,exe,ransomware
doc_64.docx,3.85,23.04,docx,benign
worm_65.exe,7.64,38.95,exe,ransomware
hidden_66.exe,7.7,43.65,exe,ransomware
crypto_67.exe,8.38,45.33,exe,ransomware
hidden_68.exe,8.9,43.61,exe,ransomware
virus_69.exe,7.69,54.55,exe,ransomware
text_70.txt,3.69,2.38,txt,benign
worm_71.exe,8.42,39.41,exe,ransomware
doc_72.docx,3.85,24.38,docx,benign
doc_73.docx,3.22,27.57,docx,benign
normal_74.txt,3.34,5.23,txt,benign
normal_75.txt,4.16,3.23,txt,benign
invoice_76.pdf,5.58,15.23,pdf,benign
hidden_77.exe,7.39,44.66,exe,ransomware
virus_78.exe,8.12,50.22,exe,ransomware
hidden_79.exe,7.78,42.27,exe,ransomware
doc_80.docx,3.43,27.79,docx,benign
invoice_81.pdf,5.13,14.78,pdf,benign
normal_82.txt,3.24,7.39,txt,benign
image_83.jpg,1.6,19.06,jpg,benign
text_84.txt,4.52,2.88,txt,benign
worm_85.exe,8.35,35.89,exe,ransomware
hidden_86.exe,7.69,41.6,exe,ransomware
hidden_87.exe,7.93,39.4,exe,ransomware
image_88.jpg,1.69,19.23,jpg,benign
doc_89.docx,4.01,25.53,docx,benign
ransom_90.docx,6.98,29.78,docx,ransomware
hidden_91.exe,8.16,41.67,exe,ransomware
crypto_92.exe,7.72,36.25,exe,ransomware
invoice_93.pdf,4.86,11.32,pdf,benign
invoice_94.pdf,5.08,13.38,pdf,benign
hidden_95.exe,7.79,40.58,exe,ransomware
normal_96.txt,3.35,3.99,txt,benign
invoice_97.pdf,5.31,11.21,pdf,benign
worm_98.exe,7.88,38.56,exe,ransomware
invoice_99.pdf,5.25,10.1,pdf,benign
text_100.txt,4.16,2.23,txt,benign
doc_101.docx,3.53,24.46,docx,benign
doc_102.docx,3.48,27.93,docx,benign
ransom_103.docx,7.17,29.11,docx,ransomware
image_104.jpg,2.14,22.08,jpg,benign
image_105.jpg,2.12,21.56,jpg,benign
image_106.jpg,2.35,20.08,jpg,benign
doc_107.docx,3.67,22.47,docx,benign
image_108.jpg,1.89,23.6,jpg,benign
doc_109.docx,2.89,23.53,docx,benign
ransom_110.docx,7.36,28.75,docx,ransomware
hidden_111.exe,7.98,43.55,exe,ransomware
doc_112.docx,3.1,26.67,docx,benign
ransom_113.docx,7.12,28.3,docx,ransomware
invoice_114.pdf,5.74,17.22,pdf,benign
worm_115.exe,7.73,41.49,exe,ransomware
ransom_116.docx,7.58,28.07,docx,ransomware
crypto_117.exe,8.79,38.13,exe,ransomware
doc_118.docx,3.78,26.87,docx,benign
hidden_119.exe,8.72,44.48,exe,ransomware
image_120.jpg,1.47,20.14,jpg,benign
text_121.txt,3.78,5.34,txt,benign
invoice_122.pdf,5.26,15.18,pdf,benign
image_123.jpg,1.75,23.72,jpg,benign
doc_124.docx,3.96,27.42,docx,benign
doc_125.docx,3.52,24.13,docx,benign
virus_126.exe,7.27,52.76,exe,ransomware
normal_127.txt,3.98,4.18,txt,benign
normal_128.txt,3.5,0.7,txt,benign
text_129.txt,4.27,4.82,txt,benign
hidden_130.exe,8.23,48.49,exe,ransomware
image_131.jpg,1.88,21.67,jpg,benign
doc_132.docx,3.49,27.26,docx,benign
normal_133.txt,3.64,2.68,txt,benign
virus_134.exe,7.7,50.49,exe,ransomware
hidden_135.exe,8.05,41.03,exe,ransomware
crypto_136.exe,8.58,35.71,exe,ransomware
text_137.txt,3.73,2.89,txt,benign
ransom_138.docx,7.11,27.3,docx,ransomware
normal_139.txt,4.16,2.6,txt,benign
ransom_140.docx,7.63,29.19,docx,ransomware
virus_141.exe,8.27,52.98,exe,ransomware
hidden_142.exe,8.49,38.92,exe,ransomware
doc_143.docx,3.53,26.0,docx,benign
ransom_144.docx,7.51,29.6,docx,ransomware
doc_145.docx,3.45,27.28,docx,benign
image_146.jpg,2.51,18.6,jpg,benign
doc_147.docx,3.17,26.62,docx,benign
crypto_148.exe,8.25,34.14,exe,ransomware
ransom_149.docx,7.17,29.71,docx,ransomware
invoice_150.pdf,5.06,10.67,pdf,benign
virus_151.exe,8.11,50.95,exe,ransomware
normal_152.txt,4.09,2.97,txt,benign
text_153.txt,3.55,2.28,txt,benign
normal_154.txt,3.28,1.97,txt,benign
ransom_155.docx,7.27,32.21,docx,ransomware
invoice_156.pdf,4.95,12.62,pdf,benign
hidden_157.exe,8.15,45.69,exe,ransomware
normal_158.txt,3.89,1.75,txt,benign
image_159.jpg,2.11,18.65,jpg,benign
worm_160.exe,8.33,40.57,exe,ransomware
normal_161.txt,3.86,6.34,txt,benign
hidden_162.exe,8.43,44.98,exe,ransomware
image_163.jpg,2.24,19.65,jpg,benign
ransom_164.docx,7.1,26.87,docx,ransomware
normal_165.txt,3.49,6.7,txt,benign
image_166.jpg,1.64,20.34,jpg,benign
normal_167.txt,3.87,4.11,txt,benign
invoice_168.pdf,4.91,12.24,pdf,benign
ransom_169.docx,7.46,29.4,docx,ransomware
normal_170.txt,3.75,2.4,txt,benign
text_171.txt,3.82,4.6,txt,benign
hidden_172.exe,8.11,42.1,exe,ransomware
crypto_173.exe,8.37,37.74,exe,ransomware
normal_174.txt,3.6,2.17,txt,benign
invoice_175.pdf,5.46,12.62,pdf,benign
crypto_176.exe,8.74,42.53,exe,ransomware
crypto_177.exe,8.05,39.17,exe,ransomware
normal_178.txt,3.61,4.16,txt,benign
doc_179.docx,3.54,25.59,docx,benign
doc_180.docx,3.25,22.2,docx,benign
hidden_181.exe,8.07,41.15,exe,ransomware
virus_182.exe,7.69,48.71,exe,ransomware
virus_183.exe,7.43,50.63,exe,ransomware
normal_184.txt,3.69,2.56,txt,benign
invoice_185.pdf,5.36,10.66,pdf,benign
doc_186.docx,3.58,23.87,docx,benign
image_187.jpg,1.77,21.95,jpg,benign
normal_188.txt,3.54,3.83,txt,benign
virus_189.exe,8.0,50.44,exe,ransomware
invoice_190.pdf,5.08,14.2,pdf,benign
normal_191.txt,4.0,3.24,txt,benign
hidden_192.exe,8.23,43.5,exe,ransomware
crypto_193.exe,8.59,37.85,exe,ransomware
ransom_194.docx,7.08,30.07,docx,ransomware
normal_195.txt,3.67,4.68,txt,benign
hidden_196.exe,8.32,44.07,exe,ransomware
image_197.jpg,1.86,24.52,jpg,benign
invoice_198.pdf,5.45,12.16,pdf,benign
image_199.jpg,1.93,20.33,jpg,benign
text_200.txt,3.73,3.95,txt,benign
worm_201.exe,8.09,37.79,exe,ransomware
virus_202.exe,7.84,51.23,exe,ransomware
worm_203.exe,8.11,41.15,exe,ransomware
invoice_204.pdf,5.24,13.64,pdf,benign
invoice_205.pdf,4.85,9.93,pdf,benign
text_206.txt,4.29,0.48,txt,benign
hidden_207.exe,8.24,41.53,exe,ransomware
